Layout,Scenario,Agent,Start,Goal,StartTime,ScenarioTime,NodeIntervals,EdgeIntervals,GenTime,SearchTime,LookupTime,Path,PathLength,PathUsed,PathOccurrence,PathTraversalTime,PathSafeIntervals,SippSearch,SippLookup
enkhuizen,small,1,t-405B,t-401A,0,<0-620>,140,219,0.002676248550415039,0.000272209,0.000000010,[t-405B;s-121BR;s-125BL;s-131B;t-401B;t-401A],6,11,1.0,95.6835,<0.0-213.974>;<405.428-678.852>;<824.694-1213.53>;<1752.56-2122.75>;<2747.12-3070.5>,0.000305166,0.000000001
enkhuizen,small,1,t-401A,t-EHA,460,<0-620>,140,219,0.0022792816162109375,0.000115291,0.000000005,[t-401A;s-131AR;s-125AL;s-123A;t-EHA],5,5,1.0,119.424,<460.0-710.163>;<919.765-1080.58>,0.000117625,0.000000001
enkhuizen,small,2,t-406B,t-402A,200,<0-900>,140,219,0.0022249221801757812,0.000210958,0.000000011,[t-406B;s-121BL;s-125BL;s-131B;t-402B;t-402A],6,10,1.0,119.82,<200.0-414.715>;<562.573-1200.57>;<1391.69-1591.88>;<1738.59-2112.51>;<3571.89-7080.18>,0.000210667,0.000000001
enkhuizen,small,2,t-402A,t-EHA,700,<0-900>,140,219,0.002218008041381836,0.000161708,0.000000005,[t-402A;s-131AL;s-125AL;s-123A;t-EHA],5,6,0.75,149.55,<700.0-1050.45>;<1368.62-1623.96>;<1817.51-2050.45>,0.000163542,0.000000001
enkhuizen,small,2,t-402A,t-EHA,700,<0-900>,140,219,0.002218008041381836,0.000161708,0.000000005,[t-402A;s-131AL;s-125AL;s-121A;t-405A;t-405B;s-121BR;s-125BL;s-127BL;t-403B;t-403A;s-127A;s-125AR;s-123A;t-EHA],15,2,0.25,389.189,<2120.7-2134.45>,0.000163542,0.000000001
enkhuizen,small,3,t-EHB,t-401A,1200,<0-2040>,139,219,0.0025911331176757812,0.000049417,0.000000005,[t-EHB;s-123BL;s-125BR;s-131B;t-401B;t-401A],6,2,1.0,109.211,<1200.0-2109.22>,0.000052708,0.000000001
enkhuizen,small,3,t-401A,t-404B,1640,<0-2040>,139,219,0.00205230712890625,0.000074208,0.000000005,[t-401A;s-131AR;s-125AL;s-123A;s-119AL;t-404A;t-404B],7,2,0.6666666666666666,91.4474,<1640.0-2122.92>,0.000076333,0.000000001
enkhuizen,small,3,t-401A,t-404B,1640,<0-2040>,139,219,0.00205230712890625,0.000074208,0.000000005,[t-401A;s-131AR;s-125AL;s-121A;t-405A;t-405B;s-121BR;s-125BL;s-127BL;t-403B;t-403A;s-127A;s-119AR;t-404A;t-404B],15,1,0.3333333333333333,253.289,<2122.92-2148.06>,0.000076333,0.000000001
enkhuizen,small,4,t-403A,t-401A,1775,<0-2920>,138,221,0.0020117759704589844,0.000367167,0.000000008,[t-403A;s-127A;s-119AR;t-407A;t-407B;s-119BR;s-123BR;s-125BR;s-131B;t-401B;t-401A],11,8,0.8,147.305,<1775.0-2165.36>;<2358.23-3013.33>;<3345.99-3373.33>;<3547.63-7052.69>,0.000366250,0.000000001
enkhuizen,small,4,t-403A,t-401A,1775,<0-2920>,138,221,0.0020117759704589844,0.000367167,0.000000008,[t-403A;s-127A;s-125AR;s-121A;t-406A;t-406B;s-121BL;s-125BL;s-131B;t-401B;t-401A],11,2,0.2,159.281,<3513.96-7040.72>,0.000366250,0.000000001
enkhuizen,small,4,t-401A,t-EHA,2640,<0-2920>,138,221,0.002015829086303711,0.000105250,0.000000006,[t-401A;s-131AR;s-125AL;s-123A;t-EHA],5,7,1.0,99.4012,<2640.0-3080.6>;<3378.21-3466.75>;<3679.45-7100.6>,0.000100041,0.000000001
enkhuizen,small,5,t-EHB,t-402A,2200,<0-3200>,150,245,0.002079010009765625,0.000019375,0.000000004,[t-EHB;s-123BL;s-125BR;s-131B;t-402B;t-402A],6,2,1.0,119.424,<2294.74-2581.21>,0.000020042,0.000000001
enkhuizen,small,5,t-402A,t-405B,3100,<0-3200>,150,245,0.002166748046875,0.000020667,0.000000004,[t-402A;s-131AL;s-125AL;s-121A;t-405A;t-405B],6,2,1.0,95.6835,<3100.0-3218.85>,0.000020750,0.000000001
enkhuizen,small,6,t-EHB,t-402A,3180,<0-3600>,141,223,0.0021729469299316406,0.000022042,0.000000005,[t-EHB;s-123BL;s-125BR;s-131B;t-402B;t-402A],6,2,1.0,119.424,<3192.81-7080.58>,0.000023750,0.000000001
enkhuizen,small,6,t-402A,t-EHA,3460,<0-3600>,141,223,0.0021882057189941406,0.000020250,0.000000004,[t-402A;s-131AL;s-125AL;s-123A;t-EHA],5,2,1.0,119.424,<3460.0-7080.58>,0.000023000,0.000000001
enkhuizen,medium,3317,t-405B,t-401A,0,<0-1320>,283,488,0.004369974136352539,nan,nan,[],0,nan,nan,0,[()],0,0
enkhuizen,medium,3317,t-401A,t-EHA,720,<0-1320>,283,488,0.004346370697021484,0.000067208,0.000000006,[t-401A;s-131AR;s-125AL;s-123A;t-EHA],5,6,1.0,119.424,<720.0-1515.11>;<1657.27-2340.0>;<2527.77-2900.58>,0.000069541,0.000000001
enkhuizen,medium,2919,t-406B,t-402A,1500,<0-3020>,283,489,0.004812002182006836,0.001869625,0.000000014,[t-406B;s-121BL;s-125BL;s-131B;t-402B;t-402A],6,40,1.0,95.6835,<1500.0-3043.74>;<3231.51-4170.5>;<4312.66-5366.21>;<5553.98-5910.5>;<6052.66-7023.74>;<7215.4-7710.5>;<7856.55-8000.0>;<8932.66-9024.32>;<9215.97-9510.5>;<9656.55-10103.7>;<10295.4-11310.5>;<11456.5-12500.0>;<12691.7-13110.5>;<13256.5-13703.7>;<13895.4-14910.5>;<15056.5-15563.7>;<15751.5-16710.5>;<16852.7-17303.7>;<17495.4-18510.5>;<18656.5-37464.3>,0.001863791,0.000000001
enkhuizen,medium,2919,t-402A,t-EHA,2340,<0-3020>,283,489,0.0043103694915771484,0.000489708,0.000000009,[t-402A;s-131AL;s-125AL;s-123A;t-EHA],5,12,0.8571428571428571,119.424,<2340.0-2900.58>;<3201.01-4200.0>;<4387.77-5366.93>;<5523.47-5940.0>;<6127.77-6880.58>;<7184.89-7740.0>,0.000493458,0.000000001
enkhuizen,medium,2919,t-402A,t-EHA,2340,<0-3020>,283,489,0.0043103694915771484,0.000489708,0.000000009,[t-402A;s-131AL;s-125AL;s-121A;t-406A;t-406B;s-121BL;s-125BL;s-127BL;t-403B;t-403A;s-127A;s-125AR;s-123A;t-EHA],15,2,0.14285714285714285,310.791,<7951.51-8015.11>,0.000493458,0.000000001
enkhuizen,medium,2921,t-EHB,t-401A,3020,<0-4380>,281,485,0.0042572021484375,0.000171500,0.000000006,[t-EHB;s-123BL;s-125BR;s-131B;t-401B;t-401A],6,2,0.5,119.424,<3020.0-5342.47>,0.000185042,0.000000001
enkhuizen,medium,2921,t-EHB,t-401A,3020,<0-4380>,281,485,0.0042572021484375,0.000171500,0.000000006,[t-EHB;s-123BL;s-125BR;s-127BL;t-403B;t-403A;s-127A;s-125AR;s-121A;t-406A;t-406B;s-121BL;s-125BL;s-131B;t-401B;t-401A],16,2,0.5,310.791,<5837.55-5901.15>,0.000185042,0.000000001
enkhuizen,medium,2921,t-401A,t-EHA,4200,<0-4380>,281,485,0.0042688846588134766,0.000017625,0.000000004,[t-401A;s-131AR;s-125AL;s-123A;t-EHA],5,2,1.0,119.424,<4200.0-5366.93>,0.000020333,0.000000001
enkhuizen,medium,3923,t-403A,t-401A,5020,<0-6120>,274,474,0.004148006439208984,0.003835333,0.000000013,[t-403A;s-127A;s-125AR;s-121A;t-406A;t-406B;s-121BL;s-125BL;s-131B;t-401B;t-401A],11,14,0.4,191.367,<5020.0-6928.06>;<7760.86-7904.32>;<8836.98-8928.63>;<9560.86-10008.1>;<11360.9-12404.3>;<16757.0-17208.1>;<18560.9-37368.6>,0.003931083,0.000000001
enkhuizen,medium,3923,t-403A,t-401A,5020,<0-6120>,274,474,0.004148006439208984,0.003835333,0.000000013,[t-403A;s-127A;s-119AR;t-407A;t-407B;s-119BR;s-123BR;s-125BR;s-131B;t-401B;t-401A],11,17,0.4857142857142857,176.978,<8128.49-8709.21>;<8865.76-8943.02>;<9589.64-10022.4>;<11389.6-12418.7>;<13189.6-13622.4>;<14989.6-15482.4>;<16785.8-17222.4>;<18589.6-37383.0>,0.003931083,0.000000001
